{'agō','agere','ēgī','āctus'}
{'ambulō','ambulāre','ambulavī','ambulātum'}
{'amō','amāre','amāvī','amātus'}
{'audiō','audīre','audīvī','audītus'}
{'canō','canere','cecinī','cantus'}
{'capiō','capere','cēpī','captus'}
{'debeō','debēre','dēbuī','dēbitus'}
{'dīcō','dīcere','dīxī','dictus'}
{'dōnō','dōnāre','dōnāvī','dōnātus'}
{'dūcō','dūcere','dūxī','ducitus'}
{'errō','errāre','errāvī','errātum'}
{'faciō','facere','fēcī','factus'}
{'gerō','gerere','gessī','gestus'}
{'habeō','habēre','habuī','habitus'}
{'iubeō','iubēre','iussī','iussus'}
{'labōrō','labōrāre','labōrāvī','labōrātum'}
{'laudō','laudāre','laudāvī','laudātus'}
{'mittō','mittere','mīssī','missus'}
{'mōnstrō','mōnstrāre','mōnstrāvī','mōnstrātus'}
{'moveō','movēre','mōvī','mōtus'}
{'optō','optāre','optāvī','optātus'}
{'pōnō','pōnere','ponuī','positus'}
{'pugnō','pugnāre','pugnāvī','pugnātum'}
{'regō','regere','rēxī','rēctus'}
{'respondeō','respondēre','respondī','respōnsus'}
{'scrībō','scrībere','scrīpsī','scrīptus'}
{'sentiō','sentīre','sēnsī','sēnsus'}
{'superō','superāre','superāvī','superātus'}
{'teneō','tenēre','tenuī','tentus'}
{'veniō','venīre','vēnī','ventum'}
{'videō','vidēre','vīdī','vīsus'}
{'vinco','vincere','vīcī','victus'}
{'vocō','vocāre','vocāvī','vocātus'}
